,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
441,Denzel Valentine,SF,26,CHI,6,0,42,9,22,.409,5,14,.357,4,8,.500,.523,0,0,,2,8,10,3,1,1,1,3,23
442,Jarred Vanderbilt,SF,20,DEN,3,0,9,0,0,,0,0,,0,0,,,0,0,,0,2,2,1,0,0,1,0,0
443,Fred VanVleet,PG,25,TOR,18,18,680,108,268,.403,47,123,.382,61,145,.421,.491,70,80,.875,4,66,70,131,36,2,48,40,333
444,Noah Vonleh,C,24,MIN,14,1,177,20,43,.465,1,10,.100,19,33,.576,.477,16,19,.842,17,34,51,15,4,3,13,20,57
445,Nikola Vučević,C,29,ORL,14,14,431,95,211,.450,16,50,.320,79,161,.491,.488,33,39,.846,41,121,162,49,9,15,20,27,239
446,Dean Wade,PF,23,CLE,3,0,18,1,2,.500,1,1,1.000,0,1,.000,.750,0,0,,0,2,2,0,1,0,0,3,3
447,Moritz Wagner,C,22,WAS,17,0,329,79,130,.608,19,44,.432,60,86,.698,.681,27,32,.844,26,69,95,23,12,12,40,66,204
448,Kemba Walker,PG,29,BOS,17,17,548,119,293,.406,58,149,.389,61,144,.424,.505,77,84,.917,20,60,80,80,15,8,35,31,373
449,Lonnie Walker,SG,21,SAS,13,0,65,10,27,.370,1,4,.250,9,23,.391,.389,1,7,.143,2,9,11,4,0,1,3,5,22
450,Tyrone Wallace,SG,25,ATL,12,0,146,14,42,.333,1,14,.071,13,28,.464,.345,11,17,.647,3,19,22,12,5,1,9,17,40
451,Taurean Waller-Prince,SF,25,BRK,19,19,573,90,221,.407,53,132,.402,37,89,.416,.527,18,25,.720,16,97,113,33,15,5,41,53,251
452,Derrick Walton,PG,24,LAC,4,0,12,1,2,.500,1,2,.500,0,0,,.750,0,0,,0,0,0,1,0,0,1,2,3
453,Brad Wanamaker,PG,30,BOS,18,0,311,44,88,.500,9,22,.409,35,66,.530,.551,37,41,.902,8,32,40,50,13,4,21,32,134
454,T.J. Warren,SF,26,IND,19,19,636,140,279,.502,22,57,.386,118,222,.532,.541,39,48,.813,14,51,65,20,23,6,27,48,341
455,PJ Washington,PF,21,CHO,21,21,589,94,189,.497,29,64,.453,65,125,.520,.574,31,46,.674,19,89,108,33,25,16,25,56,248
456,Yuta Watanabe,SG,25,MEM,1,0,3,2,2,1.000,0,0,,2,2,1.000,1.000,0,0,,0,1,1,0,0,0,0,1,4
457,Tremont Waters,PG,22,BOS,1,0,20,2,7,.286,1,5,.200,1,2,.500,.357,2,2,1.000,0,2,2,3,1,2,2,2,7
458,Russell Westbrook,PG,31,HOU,17,17,565,138,324,.426,21,90,.233,117,234,.500,.458,78,108,.722,23,107,130,117,25,5,73,67,375
459,Coby White,SG,19,CHI,20,0,507,94,256,.367,40,123,.325,54,133,.406,.445,31,39,.795,5,65,70,42,17,0,29,28,259
460,Derrick White,SG,25,SAS,18,6,431,63,135,.467,18,43,.419,45,92,.489,.533,40,51,.784,10,34,44,54,8,13,22,46,184
461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
462,Hassan Whiteside,C,30,POR,17,17,469,102,175,.583,0,0,,102,175,.583,.583,47,62,.758,62,149,211,16,7,37,34,50,251
463,Andrew Wiggins,SF,24,MIN,15,15,524,145,310,.468,35,99,.354,110,211,.521,.524,54,79,.684,18,63,81,49,10,17,27,36,379
